CÓDIGO;SUS;TUNEP
33012083;973,74;1.419,50
33012113;357,05;964,92
33013020;412,32;1.296,98
33013055;687,07;1.498,38
33013063;552,84;1.341,98
33013071;207,77;564,85
33013080;758,14;1.688,40
33013110;300,31;910,04
33014043;705,38;971,69
33014060;867,66;1.513,12
33014078;163,05;564,85
33014116;348,13;964,92
33015040;1.616,68;2.357,64
33015058;490,36;1.305,52
33015066;801;1.158,39
33015082;601,69;1.626,01
33015112;362,88;711,47
33016046;705,03;1.681,78
33016054;461,58;1.339,80
33016062;432,95;459,82
33016070;217,47;217,47
33016089;492,7;1.546,71
33016119;541,59;1.127,64
33017042;711,49;2.070,74
33017050;666,45;1.552,95
33017069;552,85;1.247,58
33017077;111,83;378,75
33018057;544,2;1.938,03
33018065;801;1.380,67
33018073;136,85;136,85
33019061;322,89;707,47
33020043;696,14;1.925,16
33021040;676,28;1.545,01
33021066;1.028,68;1.332,98
33021112;415,49;1.238,20
33022046;1.464,72;3.657,43
33022062;1.230,93;1.991,01
33022070;156,43;530,52
33022119;437,12;910,04
33022127;3.697,32;3.697,32
33022135;4.614,82;4.614,82
33022143;4.803,00;4.803,00
33023069;1.028,67;1.158,39
33023077;151,13;341,81
33023115;329,9;752,62
33024065;701,89;1.125,49
33025061;801;1.158,39
33025118;313,56;1.184,65
33026068;1.230,93;1.991,01
33026076;364,85;417,53
33026114;300,53;941,02
33027064;801;1.158,39
33027072;186,11;313,48
33027110;301,23;954,72
33028079;801;1.444,98
33028117;515,23;1.422,78
33029075;801;1.444,98
33029113;413,08;1.193,22
33030073;272,74;564,85
33030111;385,31;1.193,22
33031118;695,17;2.030,04
33032114;629,6;1.383,65
33033064;1.230,93;1.984,20
33034060;552,84;1.300,08
33036063;339,48;1.192,95
33037060;552,84;1.125,49
33038066;552,85;1.299,69
33039062;552,85;1.299,69
33040060;289,51;417,53
33041067;322,89;707,66
33044066;373,49;1.193,05
33044074;188,75;378,75
33045062;534,95;1.354,63
33045070;183,63;378,75
33046069;534,95;1.354,63
33047065;738,41;1.387,95
33048061;783,79;1.387,95
33049068;661,63;1.387,95
33050066;1.123,83;1.996,08
33701032;527,66;1.044,17
33701083;642,36;2.285,05
33701091;2.824,12;4.942,21
33701121;3.342,78;5.849,87
33702020;527,66;983,15
33702063;2.849,62;4.986,84
33702098;1.089,98;1.844,03
33702128;2.773,54;4.853,70
33703027;527,66;983,15
33703043;2.712,49;4.746,86
33703060;2.909,45;2.934,01
